keyword	genre	priority	note
セブンイレブン	コンビニ	1
ファミリーマート	コンビニ	1
ローソン	コンビニ	1
マクドナルド	外食	1
スターバックス	外食	1	カフェ含む
ツルハ	医療・衛生	1	ドラッグストア
マツモトキヨシ	医療・衛生	1	ドラッグストア
イオン	食品・日用品	1
ライフ	食品・日用品	1	スーパー
amazon	ネット通販	1	半角小文字で登録
楽天	ネット通販	2
